Name,Price,Condition,Shipping
Lenovo IdeaPad 1 15.6  FHD Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Cloud Gr,EUR 300.66,Brand New,+EUR 49.61 shipping
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4070",EUR 847.33,Brand New,+EUR 72.93 shipping
"2024 HP Laptop Computer 14"" HD Quad-Core Intel Pentium Upto 32GB RAM & 1TB SSD",EUR 208.65 to EUR 354.43,Brand New,+EUR 44.35 shipping
"Microsoft Surface Pro Copilot+ 13"" Touch X+ 16GB 256GB Platinum + Pro Keyboard",EUR 820.00,Brand New,+EUR 69.19 shipping
ASUS Vivobook 15 Notebook 15.6  FHD Display AMD Ryzen 7 7730U 16GB RAM 512 GB SS,EUR 400.88,Brand New,+EUR 48.53 shipping
"Acer Nitro V 15.6"" FHD 144Hz Gaming Laptop i5-13420H 16GB RAM 512GB SSD RTX 4050",EUR 619.55,Brand New,+EUR 59.97 shipping
Lenovo Flex 5 14  FHD Touchscreen 2-in-1 Laptop Ryzen 5-5500U 16GB RAM 512GB SSD,EUR 409.99,Brand New,+EUR 50.90 shipping
Dell Latitude 3190 Pentium N5030 8GB 128GB SSD 1366x768 Toucscreen Win10 Laptop,EUR 149.90,Very Good - Refurbished,+EUR 20.00 shipping
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,EUR 107.24,Very Good - Refurbished,+EUR 25.81 shipping estimate
Shop on eBay,$20.00,Brand New,Free shipping
Shop on eBay,$20.00,Brand New,Free shipping
"Fujitsu Laptop U939 Sub-Book 13.3"" FHD Intel Core i5-8365U 8GB 256GB NVMe Win11",EUR 219.99,Very Good - Refurbished,+EUR 19.90 shipping
"SGIN 15.6"""" Laptop 8GB 256GB SSD Windows 11 Celeron Up to 2.8GHz WiFI",EUR 208.05,Brand New,+EUR 10.00 shipping
Laptop Cheap Fast Windows 11 Pro Core i7 11th Gen 32GB Ram 1TB SSD Laptop WiFi,EUR 238.31 to EUR 440.88,Very Good - Refurbished,+EUR 35.68 shipping estimate
Lenovo ThinkPad Yoga 11th G5 N4100 8GB 128GB SSD 1366x768 Touch Windows 10 Ware B,EUR 99.90,Pre-Owned,+EUR 20.00 shipping
"HP 15.6"" FHD Notebook Intel i5-1235U 8GB RAM 512GB SSD Natural Silver",EUR 309.77,Brand New,+EUR 76.63 shipping
